id_cliente,churn,genero,meses_contrato,tipo_contrato,forma_pagamento,fatura_online,servico_telefone,internet,seguranca_online,backup_online,protecao_dispositivo,suporte_tecnico,tv_streaming,filmes_streaming,gasto_mensal,total_gasto,contas_diarias
0002-ORFBO,False,female,9,one year,mailed check,1,1,1,0,1,0,1,1,0,65.6,593.5,2.1866666666666665
0003-MKNFE,False,male,9,month-to-month,mailed check,0,1,1,0,0,0,0,0,1,59.9,542.5,1.9966666666666666
0004-TLHLJ,True,male,4,month-to-month,electronic check,1,1,1,0,0,1,0,0,0,73.9,280.8,2.4633333333333334
0011-IGKFF,True,male,13,month-to-month,electronic check,1,1,1,0,1,1,0,1,1,98.0,1238.0,3.2666666666666666
0013-EXCHZ,True,female,3,month-to-month,mailed check,1,1,1,0,0,0,1,1,0,83.9,267.5,2.796666666666667
0013-MHZWF,False,female,9,month-to-month,credit card (automatic),1,1,1,0,0,0,1,1,1,69.4,571.5,2.3133333333333335
0013-SMEOE,False,female,71,two year,bank transfer (automatic),1,1,1,1,1,1,1,1,1,109.7,7904.0,3.6566666666666667
0014-BMAQU,False,male,63,two year,credit card (automatic),1,1,1,1,0,0,1,0,0,84.65,5376.0,2.8216666666666668
0015-UOCOJ,False,female,7,month-to-month,electronic check,1,1,1,1,0,0,0,0,0,48.2,340.2,1.6066666666666667
0016-QLJIS,False,female,65,two year,mailed check,1,1,1,1,1,1,1,1,1,90.45,5956.0,3.015
0017-DINOC,False,male,54,two year,credit card (automatic),0,0,1,1,0,0,1,1,0,45.2,2460.0,1.5066666666666668
0017-IUDMW,False,female,72,two year,credit card (automatic),1,1,1,1,1,1,1,1,1,116.8,8456.0,3.893333333333333
0018-NYROU,False,female,5,month-to-month,electronic check,1,1,1,0,0,0,0,0,0,68.95,351.5,2.2983333333333333
0019-EFAEP,False,female,72,two year,bank transfer (automatic),1,1,1,1,1,1,0,1,0,101.3,7260.0,3.3766666666666665
0019-GFNTW,False,female,56,two year,bank transfer (automatic),0,0,1,1,1,1,1,0,0,45.05,2560.0,1.5016666666666665
0020-INWCK,False,female,71,two year,credit card (automatic),1,1,1,0,1,1,0,0,1,95.75,6850.0,3.191666666666667
0020-JDNXP,False,female,34,one year,mailed check,0,0,1,1,0,1,1,1,1,61.25,1993.0,2.0416666666666665
